panel,batch_size,run_kind,x_metric,x_value,y_metric,y_value,iteration,total_training_tokens,validation_tokens_per_measurement,run_elapsed_seconds,seed,source_log
a_throughput,1,full,batch_size,1,final_tokens_per_second,8780.0,12800,3276800,32768,512.44,42,tinystories_batch_1.log
a_throughput,8,full,batch_size,8,final_tokens_per_second,10732.0,1600,3276800,32768,327.16,42,tinystories_batch_8.log
a_throughput,32,full,batch_size,32,final_tokens_per_second,10566.0,1600,13107200,131072,1278.14,42,tinystories_batch_32.log
a_throughput,64,full,batch_size,64,final_tokens_per_second,10505.0,1600,26214400,262144,2563.68,42,tinystories_batch_64.log
a_throughput,128,full,batch_size,128,final_tokens_per_second,10475.0,1600,52428800,524288,5120.21,42,tinystories_batch_128.log
a_throughput,256,smoke,batch_size,256,final_tokens_per_second,1542.0,2,131072,65536,89.56,42,tinystories_batch_256_smoke.log
b_fixed_training_tokens,1,full,processed_training_tokens,655360,validation_cross_entropy,3.758242,2560,3276800,32768,512.44,42,tinystories_batch_1.log
b_fixed_training_tokens,1,full,processed_training_tokens,1310720,validation_cross_entropy,3.415767,5120,3276800,32768,512.44,42,tinystories_batch_1.log
b_fixed_training_tokens,1,full,processed_training_tokens,1966080,validation_cross_entropy,3.020664,7680,3276800,32768,512.44,42,tinystories_batch_1.log
b_fixed_training_tokens,1,full,processed_training_tokens,2621440,validation_cross_entropy,2.850563,10240,3276800,32768,512.44,42,tinystories_batch_1.log
b_fixed_training_tokens,1,full,processed_training_tokens,3276800,validation_cross_entropy,2.717314,12800,3276800,32768,512.44,42,tinystories_batch_1.log
b_fixed_training_tokens,8,full,processed_training_tokens,655360,validation_cross_entropy,3.379757,320,3276800,32768,327.16,42,tinystories_batch_8.log
b_fixed_training_tokens,8,full,processed_training_tokens,1310720,validation_cross_entropy,3.098271,640,3276800,32768,327.16,42,tinystories_batch_8.log
b_fixed_training_tokens,8,full,processed_training_tokens,1966080,validation_cross_entropy,2.802737,960,3276800,32768,327.16,42,tinystories_batch_8.log
b_fixed_training_tokens,8,full,processed_training_tokens,2621440,validation_cross_entropy,2.671046,1280,3276800,32768,327.16,42,tinystories_batch_8.log
b_fixed_training_tokens,8,full,processed_training_tokens,3276800,validation_cross_entropy,2.588787,1600,3276800,32768,327.16,42,tinystories_batch_8.log
c_fixed_updates,8,full,gradient_updates,320,validation_cross_entropy,3.379757,320,3276800,32768,327.16,42,tinystories_batch_8.log
c_fixed_updates,8,full,gradient_updates,640,validation_cross_entropy,3.098271,640,3276800,32768,327.16,42,tinystories_batch_8.log
c_fixed_updates,8,full,gradient_updates,960,validation_cross_entropy,2.802737,960,3276800,32768,327.16,42,tinystories_batch_8.log
c_fixed_updates,8,full,gradient_updates,1280,validation_cross_entropy,2.671046,1280,3276800,32768,327.16,42,tinystories_batch_8.log
c_fixed_updates,8,full,gradient_updates,1600,validation_cross_entropy,2.588787,1600,3276800,32768,327.16,42,tinystories_batch_8.log
c_fixed_updates,32,full,gradient_updates,320,validation_cross_entropy,2.679197,320,13107200,131072,1278.14,42,tinystories_batch_32.log
c_fixed_updates,32,full,gradient_updates,640,validation_cross_entropy,2.345767,640,13107200,131072,1278.14,42,tinystories_batch_32.log
c_fixed_updates,32,full,gradient_updates,960,validation_cross_entropy,2.151416,960,13107200,131072,1278.14,42,tinystories_batch_32.log
c_fixed_updates,32,full,gradient_updates,1280,validation_cross_entropy,1.995472,1280,13107200,131072,1278.14,42,tinystories_batch_32.log
c_fixed_updates,32,full,gradient_updates,1600,validation_cross_entropy,1.949664,1600,13107200,131072,1278.14,42,tinystories_batch_32.log
c_fixed_updates,64,full,gradient_updates,320,validation_cross_entropy,2.400519,320,26214400,262144,2563.68,42,tinystories_batch_64.log
c_fixed_updates,64,full,gradient_updates,640,validation_cross_entropy,2.070619,640,26214400,262144,2563.68,42,tinystories_batch_64.log
c_fixed_updates,64,full,gradient_updates,960,validation_cross_entropy,1.873954,960,26214400,262144,2563.68,42,tinystories_batch_64.log
c_fixed_updates,64,full,gradient_updates,1280,validation_cross_entropy,1.748208,1280,26214400,262144,2563.68,42,tinystories_batch_64.log
c_fixed_updates,64,full,gradient_updates,1600,validation_cross_entropy,1.721578,1600,26214400,262144,2563.68,42,tinystories_batch_64.log
c_fixed_updates,128,full,gradient_updates,320,validation_cross_entropy,2.155101,320,52428800,524288,5120.21,42,tinystories_batch_128.log
c_fixed_updates,128,full,gradient_updates,640,validation_cross_entropy,1.868221,640,52428800,524288,5120.21,42,tinystories_batch_128.log
c_fixed_updates,128,full,gradient_updates,960,validation_cross_entropy,1.719334,960,52428800,524288,5120.21,42,tinystories_batch_128.log
c_fixed_updates,128,full,gradient_updates,1280,validation_cross_entropy,1.614961,1280,52428800,524288,5120.21,42,tinystories_batch_128.log
c_fixed_updates,128,full,gradient_updates,1600,validation_cross_entropy,1.591597,1600,52428800,524288,5120.21,42,tinystories_batch_128.log
